Training...
Step 976 | Train Loss: 0.2841 | last_energy: -7.8379621505737305
Step 980 | Train Loss: 0.2473 | last_energy: -7.318486213684082
Step 984 | Train Loss: 0.2746 | last_energy: -6.57579231262207
Step 988 | Train Loss: 0.2802 | last_energy: -5.45141077041626
Step 992 | Train Loss: 0.2868 | last_energy: -6.5201921463012695
Step 996 | Train Loss: 0.2401 | last_energy: -7.008857727050781
Step 1000 | Train Loss: 0.2871 | last_energy: -7.195884704589844
Saved checkpoint: ./checkpoints/ebt.pth
Step 1004 | Train Loss: 0.2752 | last_energy: -6.889947891235352
Step 1008 | Train Loss: 0.2497 | last_energy: -6.729146480560303
Step 1012 | Train Loss: 0.2434 | last_energy: -6.702211380004883
Step 1016 | Train Loss: 0.2596 | last_energy: -6.602497100830078
Step 1020 | Train Loss: 0.2820 | last_energy: -6.158235549926758
Step 1024 | Train Loss: 0.2741 | last_energy: -5.726264953613281
Step 1028 | Train Loss: 0.2247 | last_energy: -6.34110164642334
Step 1032 | Train Loss: 0.2835 | last_energy: -7.099087715148926
Step 1036 | Train Loss: 0.2939 | last_energy: -7.210202217102051
Step 1040 | Train Loss: 0.2912 | last_energy: -7.270810127258301
Step 1044 | Train Loss: 0.2729 | last_energy: -6.6023969650268555
Step 1048 | Train Loss: 0.2776 | last_energy: -6.9986982345581055
Step 1052 | Train Loss: 0.2633 | last_energy: -7.946639537811279
Step 1056 | Train Loss: 0.2805 | last_energy: -8.246007919311523
Step 1060 | Train Loss: 0.2411 | last_energy: -8.134517669677734
Step 1064 | Train Loss: 0.2802 | last_energy: -7.913846492767334
Step 1068 | Train Loss: 0.2823 | last_energy: -6.900716304779053
Step 1072 | Train Loss: 0.3262 | last_energy: -6.721693515777588
Step 1076 | Train Loss: 0.2565 | last_energy: -6.990745544433594
Step 1080 | Train Loss: 0.2736 | last_energy: -6.950334548950195
Step 1084 | Train Loss: 0.2786 | last_energy: -6.023524761199951
Step 1088 | Train Loss: 0.2702 | last_energy: -5.848049163818359
Step 1092 | Train Loss: 0.3004 | last_energy: -6.630130290985107
Step 1096 | Train Loss: 0.2648 | last_energy: -6.8471221923828125
Step 1100 | Train Loss: 0.2658 | last_energy: -6.683513641357422
Step 1104 | Train Loss: 0.2677 | last_energy: -6.62441349029541
Step 1108 | Train Loss: 0.2608 | last_energy: -5.980834007263184
