Training...
Step 720 | Train Loss: 0.1562 | last_energy: -131.2701416015625
Step 724 | Train Loss: 0.1551 | last_energy: -131.22955322265625
Step 728 | Train Loss: 0.1614 | last_energy: -131.199462890625
Step 732 | Train Loss: 0.1707 | last_energy: -131.16561889648438
Step 736 | Train Loss: 0.1642 | last_energy: -131.13571166992188
Step 740 | Train Loss: 0.1925 | last_energy: -131.10983276367188
Step 744 | Train Loss: 0.1788 | last_energy: -131.07005310058594
Step 748 | Train Loss: 0.1737 | last_energy: -131.03561401367188
Step 752 | Train Loss: 0.1653 | last_energy: -131.00872802734375
Step 756 | Train Loss: 0.1789 | last_energy: -130.9794921875
Step 760 | Train Loss: 0.1691 | last_energy: -130.9316864013672
Step 764 | Train Loss: 0.1860 | last_energy: -130.90457153320312
Step 768 | Train Loss: 0.1857 | last_energy: -130.8721160888672
Step 772 | Train Loss: 0.1821 | last_energy: -130.8386993408203
Step 776 | Train Loss: 0.1558 | last_energy: -130.80821228027344
Step 780 | Train Loss: 0.1692 | last_energy: -130.7834930419922
Step 784 | Train Loss: 0.1976 | last_energy: -130.73745727539062
Step 788 | Train Loss: 0.1726 | last_energy: -130.7083740234375
Step 792 | Train Loss: 0.1613 | last_energy: -130.6646728515625
Step 796 | Train Loss: 0.1674 | last_energy: -130.63192749023438
Step 800 | Train Loss: 0.1995 | last_energy: -130.6142578125
Saved checkpoint: ./checkpoints/ebt.pth
Step 804 | Train Loss: 0.1685 | last_energy: -130.57318115234375
Step 808 | Train Loss: 0.1894 | last_energy: -130.554443359375
Step 812 | Train Loss: 0.1731 | last_energy: -130.50552368164062
Step 816 | Train Loss: 0.1864 | last_energy: -130.47511291503906
Step 820 | Train Loss: 0.1507 | last_energy: -130.44146728515625
Step 824 | Train Loss: 0.1765 | last_energy: -130.4086456298828
Step 828 | Train Loss: 0.1717 | last_energy: -130.37892150878906
Step 832 | Train Loss: 0.1775 | last_energy: -130.34603881835938
Step 836 | Train Loss: 0.1661 | last_energy: -130.32720947265625
Step 840 | Train Loss: 0.1618 | last_energy: -130.2822265625
Step 844 | Train Loss: 0.1572 | last_energy: -130.24954223632812
Step 848 | Train Loss: 0.1739 | last_energy: -130.2181396484375
Step 852 | Train Loss: 0.1517 | last_energy: -130.1740264892578
Step 856 | Train Loss: 0.1540 | last_energy: -130.15130615234375
Step 860 | Train Loss: 0.1747 | last_energy: -130.117431640625
Step 864 | Train Loss: 0.1922 | last_energy: -130.0803680419922
Step 868 | Train Loss: 0.1582 | last_energy: -130.054931640625
Step 872 | Train Loss: 0.1930 | last_energy: -130.02484130859375
Step 876 | Train Loss: 0.1713 | last_energy: -129.99517822265625
Step 880 | Train Loss: 0.1790 | last_energy: -129.95956420898438
Step 884 | Train Loss: 0.1676 | last_energy: -129.9326629638672
Step 888 | Train Loss: 0.1796 | last_energy: -129.89208984375
Step 892 | Train Loss: 0.1766 | last_energy: -129.84925842285156
Step 896 | Train Loss: 0.1762 | last_energy: -129.8241424560547
Step 900 | Train Loss: 0.1642 | last_energy: -129.80831909179688
Step 904 | Train Loss: 0.1781 | last_energy: -129.7615966796875
Step 908 | Train Loss: 0.1839 | last_energy: -129.7334747314453
Step 912 | Train Loss: 0.1880 | last_energy: -129.69906616210938
Step 916 | Train Loss: 0.1784 | last_energy: -129.6557159423828
Step 920 | Train Loss: 0.1765 | last_energy: -129.6284942626953
Step 924 | Train Loss: 0.1817 | last_energy: -129.60877990722656
Step 928 | Train Loss: 0.1708 | last_energy: -129.5687255859375
Step 932 | Train Loss: 0.2105 | last_energy: -129.53436279296875
Step 936 | Train Loss: 0.1742 | last_energy: -129.49864196777344
Step 940 | Train Loss: 0.1631 | last_energy: -129.46673583984375
Step 944 | Train Loss: 0.1751 | last_energy: -129.4436798095703
Step 948 | Train Loss: 0.1766 | last_energy: -129.40635681152344
Step 952 | Train Loss: 0.1714 | last_energy: -129.38040161132812
Step 956 | Train Loss: 0.1752 | last_energy: -129.33843994140625
Step 960 | Train Loss: 0.1663 | last_energy: -129.30380249023438
Step 964 | Train Loss: 0.1758 | last_energy: -129.2698974609375
Step 968 | Train Loss: 0.1937 | last_energy: -129.2267303466797
Step 972 | Train Loss: 0.1914 | last_energy: -129.21890258789062
Step 976 | Train Loss: 0.1917 | last_energy: -129.17897033691406
Step 980 | Train Loss: 0.1796 | last_energy: -129.142578125
Step 984 | Train Loss: 0.2032 | last_energy: -129.11843872070312
Step 988 | Train Loss: 0.1917 | last_energy: -129.06907653808594
Step 992 | Train Loss: 0.1887 | last_energy: -129.04339599609375
Step 996 | Train Loss: 0.1772 | last_energy: -129.005126953125
